Rainfall - (MM), Year,Month
40.4258,1901,January
12.3022,1901,February
25.5119,1901,March
14.2942,1901,April
38.3046,1901,May
12.8813,1901,June
68.093,1901,July
16.5836,1901,August
13.3391,1901,September
3.10757,1901,October
0.21419,1901,November
3.27559,1901,December
2.31336,1902,January
3.17559,1902,February
13.3201,1902,March
16.6064,1902,April
17.0574,1902,May
19.3449,1902,June
25.7954,1902,July
34.1203,1902,August
17.5,1902,September
7.08495,1902,October
14.5744,1902,November
4.73243,1902,December
22.6658,1903,January
10.2447,1903,February
40.695,1903,March
12.3373,1903,April
35.182,1903,May
7.95537,1903,June
75.6535,1903,July
34.1329,1903,August
24.1921,1903,September
1.82323,1903,October
1.2238,1903,November
10.0793,1903,December
61.2916,1904,January
10.9565,1904,February
68.4706,1904,March
10.8674,1904,April
9.80757,1904,May
6.63728,1904,June
22.9002,1904,July
26.1663,1904,August
17.5644,1904,September
8.62059,1904,October
12.2084,1904,November
6.44073,1904,December
53.5866,1905,January
37.0232,1905,February
41.1089,1905,March
14.3762,1905,April
12.9388,1905,May
7.47864,1905,June
17.6693,1905,July
8.42186,1905,August
36.4692,1905,September
2.22197,1905,October
0.23152,1905,November
27.6909,1905,December
7.44133,1906,January
78.1301,1906,February
37.7996,1906,March
11.4353,1906,April
19.8325,1906,May
12.6819,1906,June
25.2715,1906,July
44.5472,1906,August
28.7101,1906,September
2.93003,1906,October
0.2753,1906,November
11.1771,1906,December
18.81,1907,January
38.2396,1907,February
29.2855,1907,March
36.3981,1907,April
4.75605,1907,May
33.4921,1907,June
33.0677,1907,July
54.822,1907,August
2.99025,1907,September
2.88652,1907,October
0.88287,1907,November
2.76253,1907,December
40.6442,1908,January
17.759,1908,February
13.8815,1908,March
60.2271,1908,April
15.155,1908,May
10.8517,1908,June
100.309,1908,July
90.0436,1908,August
27.5185,1908,September
2.64982,1908,October
0.30752,1908,November
19.4151,1908,December
22.0417,1909,January
34.5044,1909,February
17.239,1909,March
49.3441,1909,April
5.69387,1909,May
25.5863,1909,June
110.821,1909,July
27.676,1909,August
35.4963,1909,September
3.77207,1909,October
2.09046,1909,November
39.1434,1909,December
48.6834,1910,January
10.0486,1910,February
12.8771,1910,March
28.8651,1910,April
8.65424,1910,May
33.9063,1910,June
73.1194,1910,July
83.1,1910,August
4.58992,1910,September
1.80884,1910,October
0.18159,1910,November
7.09619,1910,December
62.1624,1911,January
13.6268,1911,February
63.2829,1911,March
13.1245,1911,April
11.5385,1911,May
8.98892,1911,June
8.07602,1911,July
14.2183,1911,August
9.62532,1911,September
5.47875,1911,October
9.19291,1911,November
11.3108,1911,December
49.9539,1912,January
17.0454,1912,February
7.75363,1912,March
25.0325,1912,April
21.5984,1912,May
13.9635,1912,June
41.5568,1912,July
50.7721,1912,August
8.37116,1912,September
2.50569,1912,October
2.01322,1912,November
22.5349,1912,December
13.1557,1913,January
31.3535,1913,February
27.0575,1913,March
18.966,1913,April
12.7484,1913,May
26.7758,1913,June
43.3387,1913,July
52.2582,1913,August
29.0657,1913,September
3.23762,1913,October
4.07875,1913,November
25.6171,1913,December
23.0338,1914,January
44.1405,1914,February
21.0917,1914,March
44.5625,1914,April
11.9432,1914,May
34.2121,1914,June
110.802,1914,July
25.4436,1914,August
34.385,1914,September
24.642,1914,October
9.71607,1914,November
10.0941,1914,December
4.79381,1915,January
35.6388,1915,February
26.8453,1915,March
53.0118,1915,April
4.94112,1915,May
12.8614,1915,June
35.4379,1915,July
11.9239,1915,August
16.1701,1915,September
13.3508,1915,October
0.68016,1915,November
6.75773,1915,December
20.4452,1916,January
22.4321,1916,February
9.38123,1916,March
38.9866,1916,April
27.0144,1916,May
13.7413,1916,June
53.6625,1916,July
154.055,1916,August
26.0831,1916,September
12.044,1916,October
0.12818,1916,November
0.91797,1916,December
15.2669,1917,January
3.4687,1917,February
34.8237,1917,March
16.7887,1917,April
20.6214,1917,May
19.5138,1917,June
21.9135,1917,July
105.647,1917,August
79.48,1917,September
11.5993,1917,October
0.10584,1917,November
18.1581,1917,December
3.67758,1918,January
4.3403,1918,February
52.7667,1918,March
31.7855,1918,April
3.40381,1918,May
16.202,1918,June
10.716,1918,July
23.632,1918,August
12.0347,1918,September
1.94249,1918,October
6.6346,1918,November
36.2052,1918,December
38.0603,1919,January
18.1172,1919,February
27.477,1919,March
20.9388,1919,April
10.555,1919,May
2.64043,1919,June
69.2101,1919,July
74.5446,1919,August
16.1689,1919,September
1.24296,1919,October
0.64859,1919,November
38.828,1919,December
35.7668,1920,January
22.6303,1920,February
36.08,1920,March
22.3086,1920,April
16.5041,1920,May
13.6575,1920,June
19.9772,1920,July
16.8843,1920,August
11.888,1920,September
1.16082,1920,October
4.45309,1920,November
3.59087,1920,December
9.92568,1921,January
4.74141,1921,February
14.8642,1921,March
16.3766,1921,April
9.02189,1921,May
12.5584,1921,June
72.2176,1921,July
89.2192,1921,August
16.9813,1921,September
9.28153,1921,October
2.22099,1921,November
33.1487,1921,December
18.7877,1922,January
39.9547,1922,February
15.9975,1922,March
8.44737,1922,April
18.9858,1922,May
12.9477,1922,June
29.9843,1922,July
32.035,1922,August
43.9223,1922,September
4.74138,1922,October
0.19436,1922,November
15.6486,1922,December
35.9669,1923,January
40.3208,1923,February
23.3626,1923,March
17.9709,1923,April
23.7718,1923,May
4.37135,1923,June
36.6953,1923,July
83.1012,1923,August
7.74047,1923,September
9.61971,1923,October
0.5534,1923,November
9.77863,1923,December
27.7769,1924,January
52.4768,1924,February
18.5206,1924,March
41.0689,1924,April
40.4323,1924,May
1.17319,1924,June
47.4231,1924,July
21.8061,1924,August
46.2479,1924,September
0.64327,1924,October
4.09587,1924,November
41.6146,1924,December
14.2756,1925,January
15.1582,1925,February
9.02434,1925,March
7.80475,1925,April
32.2283,1925,May
16.5857,1925,June
55.3342,1925,July
34.2365,1925,August
16.3121,1925,September
11.9817,1925,October
9.60262,1925,November
0.91499,1925,December
24.4413,1926,January
12.882,1926,February
63.5215,1926,March
31.4509,1926,April
20.4858,1926,May
8.98922,1926,June
34.713,1926,July
74.1229,1926,August
42.7293,1926,September
0.49156,1926,October
0.52748,1926,November
18.7861,1926,December
13.352,1927,January
30.2914,1927,February
20.1701,1927,March
14.6287,1927,April
8.23821,1927,May
8.39599,1927,June
94.2809,1927,July
29.1965,1927,August
13.8769,1927,September
1.65613,1927,October
1.01834,1927,November
42.566,1927,December
13.1354,1928,January
34.7922,1928,February
27.0924,1928,March
14.9065,1928,April
3.78452,1928,May
5.63625,1928,June
24.1495,1928,July
37.0993,1928,August
29.5816,1928,September
4.76729,1928,October
19.6052,1928,November
20.3335,1928,December
25.9579,1929,January
18.6647,1929,February
8.94673,1929,March
12.8088,1929,April
10.8868,1929,May
14.4611,1929,June
145.618,1929,July
89.806,1929,August
3.18438,1929,September
6.89097,1929,October
8.4176,1929,November
22.8815,1929,December
32.3071,1930,January
16.2961,1930,February
16.7301,1930,March
55.3931,1930,April
11.4558,1930,May
15.2333,1930,June
93.8898,1930,July
13.0779,1930,August
19.8918,1930,September
4.73209,1930,October
0.9404,1930,November
3.91869,1930,December
31.205,1931,January
52.4215,1931,February
12.8384,1931,March
24.4085,1931,April
26.5103,1931,May
25.5995,1931,June
55.9034,1931,July
42.1351,1931,August
9.9938,1931,September
16.0189,1931,October
3.87184,1931,November
4.63594,1931,December
26.7392,1932,January
10.7904,1932,February
46.6057,1932,March
8.74017,1932,April
10.6746,1932,May
15.674,1932,June
113.954,1932,July
61.3524,1932,August
4.39812,1932,September
4.01409,1932,October
0.43016,1932,November
12.8274,1932,December
25.4788,1933,January
21.9499,1933,February
39.5348,1933,March
33.2832,1933,April
16.7729,1933,May
16.269,1933,June
75.3341,1933,July
102.081,1933,August
23.0784,1933,September
3.98831,1933,October
2.72915,1933,November
14.1313,1933,December
19.2027,1934,January
14.1642,1934,February
31.5287,1934,March
31.4163,1934,April
17.8854,1934,May
16.6664,1934,June
26.888,1934,July
83.3958,1934,August
9.9666,1934,September
2.8108,1934,October
2.35865,1934,November
16.5685,1934,December
50.2232,1935,January
55.8465,1935,February
23.9489,1935,March
58.9393,1935,April
10.5603,1935,May
10.4809,1935,June
43.4936,1935,July
42.2543,1935,August
14.5429,1935,September
8.22242,1935,October
8.05263,1935,November
2.97032,1935,December
17.1451,1936,January
57.0899,1936,February
38.0715,1936,March
18.2543,1936,April
27.1927,1936,May
27.4385,1936,June
25.6255,1936,July
19.6528,1936,August
15.4076,1936,September
5.47314,1936,October
12.3342,1936,November
16.3721,1936,December
20.7952,1937,January
57.7165,1937,February
32.6619,1937,March
47.3676,1937,April
7.45861,1937,May
5.52735,1937,June
97.1825,1937,July
2.46915,1937,August
16.3548,1937,September
8.56207,1937,October
2.07194,1937,November
17.0892,1937,December
52.7538,1938,January
23.2189,1938,February
20.393,1938,March
24.7071,1938,April
3.56816,1938,May
32.8899,1938,June
48.888,1938,July
38.309,1938,August
2.96804,1938,September
3.88538,1938,October
2.05724,1938,November
16.8484,1938,December
21.8429,1939,January
76.0329,1939,February
64.9968,1939,March
33.474,1939,April
5.93996,1939,May
7.81959,1939,June
19.9689,1939,July
16.0148,1939,August
5.5909,1939,September
8.54513,1939,October
1.50351,1939,November
8.10614,1939,December
43.1928,1940,January
30.6731,1940,February
26.4761,1940,March
19.2397,1940,April
21.4832,1940,May
35.6621,1940,June
18.5754,1940,July
35.6084,1940,August
9.7331,1940,September
3.70525,1940,October
4.16205,1940,November
7.2564,1940,December
18.3481,1941,January
12.1747,1941,February
24.0993,1941,March
32.6426,1941,April
9.43239,1941,May
8.50974,1941,June
45.81,1941,July
21.0318,1941,August
20.3119,1941,September
2.53545,1941,October
3.01371,1941,November
15.7911,1941,December
55.169,1942,January
53.9409,1942,February
19.6547,1942,March
19.7194,1942,April
38.4209,1942,May
31.0639,1942,June
101.84,1942,July
37.0677,1942,August
22.0441,1942,September
5.03011,1942,October
4.25811,1942,November
26.4945,1942,December
58.2901,1943,January
5.57775,1943,February
26.7344,1943,March
34.1384,1943,April
23.3824,1943,May
10.1402,1943,June
46.4736,1943,July
29.4262,1943,August
15.7967,1943,September
3.90013,1943,October
2.2677,1943,November
3.62004,1943,December
48.1277,1944,January
64.9179,1944,February
38.2779,1944,March
31.2336,1944,April
8.14759,1944,May
9.37007,1944,June
98.6377,1944,July
136.962,1944,August
15.0417,1944,September
5.54882,1944,October
8.30947,1944,November
29.7959,1944,December
38.8791,1945,January
11.7038,1945,February
24.6168,1945,March
34.16,1945,April
12.045,1945,May
25.523,1945,June
106.458,1945,July
38.081,1945,August
24.0178,1945,September
5.61034,1945,October
4.99154,1945,November
12.0397,1945,December
14.8902,1946,January
26.0587,1946,February
13.9942,1946,March
5.6812,1946,April
5.64115,1946,May
12.3442,1946,June
26.171,1946,July
77.1827,1946,August
4.63755,1946,September
8.7803,1946,October
5.09657,1946,November
11.3736,1946,December
31.4211,1947,January
30.8748,1947,February
19.6091,1947,March
3.89161,1947,April
17.1172,1947,May
8.28901,1947,June
22.0234,1947,July
46.1195,1947,August
21.2747,1947,September
4.27195,1947,October
5.62064,1947,November
15.2268,1947,December
11.4407,1948,January
42.7869,1948,February
48.0123,1948,March
25.1017,1948,April
9.07401,1948,May
18.8198,1948,June
79.8786,1948,July
44.5498,1948,August
11.1338,1948,September
2.6953,1948,October
3.45944,1948,November
24.9507,1948,December
14.5772,1949,January
20.9185,1949,February
36.7155,1949,March
11.7593,1949,April
8.48725,1949,May
18.1381,1949,June
51.3335,1949,July
57.3926,1949,August
17.4278,1949,September
2.99065,1949,October
2.05416,1949,November
6.46054,1949,December
60.4773,1950,January
22.0462,1950,February
31.9527,1950,March
26.4562,1950,April
13.0833,1950,May
7.0361,1950,June
62.3368,1950,July
49.0711,1950,August
29.9903,1950,September
2.67137,1950,October
3.13984,1950,November
0.80213,1950,December
17.9641,1951,January
26.1026,1951,February
44.9662,1951,March
24.8592,1951,April
25.6118,1951,May
10.9358,1951,June
23.8066,1951,July
46.0951,1951,August
4.32737,1951,September
6.10609,1951,October
9.85755,1951,November
5.62371,1951,December
21.8835,1952,January
28.4677,1952,February
24.2076,1952,March
14.6128,1952,April
7.56766,1952,May
12.9089,1952,June
54.0252,1952,July
25.8742,1952,August
6.00208,1952,September
1.33603,1952,October
1.9862,1952,November
16.6618,1952,December
25.7333,1953,January
24.2772,1953,February
20.904,1953,March
20.1409,1953,April
15.874,1953,May
22.1359,1953,June
47.3657,1953,July
77.7919,1953,August
21.0016,1953,September
10.7566,1953,October
4.32299,1953,November
13.8055,1953,December
48.7824,1954,January
65.4074,1954,February
22.7319,1954,March
18.5023,1954,April
10.2821,1954,May
10.5167,1954,June
30.5518,1954,July
21.8322,1954,August
44.9608,1954,September
8.41373,1954,October
4.24445,1954,November
3.28068,1954,December
28.8648,1955,January
8.44112,1955,February
47.2041,1955,March
8.48304,1955,April
27.4975,1955,May
7.20499,1955,June
27.3777,1955,July
80.6127,1955,August
36.0226,1955,September
7.40846,1955,October
1.07598,1955,November
16.6018,1955,December
35.4311,1956,January
19.7688,1956,February
58.4752,1956,March
34.3327,1956,April
1.72454,1956,May
35.6324,1956,June
125.533,1956,July
74.6565,1956,August
11.0303,1956,September
20.6457,1956,October
1.66882,1956,November
13.0949,1956,December
62.0862,1957,January
14.6322,1957,February
36.6081,1957,March
51.9199,1957,April
25.8923,1957,May
17.1486,1957,June
25.4085,1957,July
43.4475,1957,August
7.64757,1957,September
15.6489,1957,October
24.461,1957,November
32.3778,1957,December
25.5363,1958,January
9.44109,1958,February
16.1792,1958,March
14.091,1958,April
12.7986,1958,May
10.9512,1958,June
56.858,1958,July
22.5712,1958,August
31.8638,1958,September
3.9729,1958,October
7.80382,1958,November
54.5402,1958,December
38.2175,1959,January
36.426,1959,February
25.3104,1959,March
24.9713,1959,April
32.536,1959,May
6.17998,1959,June
109.908,1959,July
45.5721,1959,August
32.8209,1959,September
8.68935,1959,October
26.1542,1959,November
17.4243,1959,December
12.8881,1960,January
15.5501,1960,February
48.0119,1960,March
31.719,1960,April
13.5125,1960,May
8.61772,1960,June
61.681,1960,July
35.7771,1960,August
16.0049,1960,September
1.14299,1960,October
4.96186,1960,November
25.758,1960,December
33.4807,1961,January
30.3129,1961,February
15.4388,1961,March
39.9794,1961,April
13.8821,1961,May
23.489,1961,June
89.9002,1961,July
46.2971,1961,August
36.5446,1961,September
10.0553,1961,October
9.28469,1961,November
11.5446,1961,December
6.7844,1962,January
18.7275,1962,February
26.4647,1962,March
23.2086,1962,April
15.4038,1962,May
10.9828,1962,June
42.9007,1962,July
46.8747,1962,August
39.7279,1962,September
4.00006,1962,October
10.1943,1962,November
22.3324,1962,December
0.99773,1963,January
16.2037,1963,February
41.6322,1963,March
34.1661,1963,April
35.0543,1963,May
5.55861,1963,June
20.415,1963,July
27.7805,1963,August
12.5937,1963,September
3.932,1963,October
15.3882,1963,November
12.4367,1963,December
37.9169,1964,January
20.617,1964,February
20.0103,1964,March
23.3933,1964,April
10.9025,1964,May
18.5588,1964,June
80.9339,1964,July
56.2686,1964,August
16.0849,1964,September
2.10298,1964,October
1.39828,1964,November
13.8485,1964,December
26.2428,1965,January
24.945,1965,February
22.0791,1965,March
59.2074,1965,April
26.2274,1965,May
5.02491,1965,June
64.3407,1965,July
31.0305,1965,August
5.04816,1965,September
8.17512,1965,October
10.6557,1965,November
10.4383,1965,December
1.15251,1966,January
45.5543,1966,February
40.4243,1966,March
33.1559,1966,April
13.2614,1966,May
14.1281,1966,June
45.8264,1966,July
34.1948,1966,August
22.35,1966,September
17.0328,1966,October
0.5548,1966,November
2.9438,1966,December
4.27492,1967,January
30.2195,1967,February
62.6848,1967,March
24.4783,1967,April
23.5003,1967,May
8.45779,1967,June
62.1139,1967,July
71.5948,1967,August
17.6735,1967,September
11.9856,1967,October
6.90142,1967,November
49.9924,1967,December
26.3102,1968,January
29.1857,1968,February
21.337,1968,March
17.1485,1968,April
20.1009,1968,May
7.3359,1968,June
28.9279,1968,July
35.353,1968,August
1.11097,1968,September
8.97746,1968,October
6.29921,1968,November
13.9851,1968,December
14.0873,1969,January
24.9438,1969,February
20.4253,1969,March
31.7132,1969,April
19.819,1969,May
9.63631,1969,June
54.8043,1969,July
19.5314,1969,August
12.1516,1969,September
13.014,1969,October
3.01573,1969,November
1.45074,1969,December
30.5653,1970,January
27.1291,1970,February
33.5164,1970,March
15.5043,1970,April
8.93951,1970,May
16.5579,1970,June
46.0735,1970,July
77.46,1970,August
40.3373,1970,September
8.65626,1970,October
0.47082,1970,November
4.07001,1970,December
7.24127,1971,January
21.513,1971,February
10.804,1971,March
16.0094,1971,April
11.8274,1971,May
21.4284,1971,June
44.4069,1971,July
40.7991,1971,August
20.2732,1971,September
1.70755,1971,October
2.06759,1971,November
6.26838,1971,December
34.7957,1972,January
19.8263,1972,February
38.6696,1972,March
22.1973,1972,April
21.5096,1972,May
22.1459,1972,June
35.143,1972,July
29.401,1972,August
16.0654,1972,September
5.55106,1972,October
6.4597,1972,November
23.3174,1972,December
28.3193,1973,January
22.0498,1973,February
35.0366,1973,March
18.082,1973,April
20.5587,1973,May
6.31663,1973,June
83.0911,1973,July
67.0669,1973,August
19.8524,1973,September
3.33128,1973,October
0.56221,1973,November
13.3079,1973,December
20.4081,1974,January
34.12,1974,February
12.4535,1974,March
15.064,1974,April
15.8986,1974,May
20.848,1974,June
41.7686,1974,July
23.2534,1974,August
11.2464,1974,September
1.70523,1974,October
0.89974,1974,November
15.6551,1974,December
26.8503,1975,January
28.4211,1975,February
31.389,1975,March
22.3481,1975,April
18.8292,1975,May
26.2635,1975,June
63.3042,1975,July
96.6574,1975,August
37.3772,1975,September
4.14299,1975,October
2.73393,1975,November
7.69655,1975,December
26.6401,1976,January
48.1633,1976,February
51.7926,1976,March
22.9631,1976,April
8.51641,1976,May
21.235,1976,June
68.3295,1976,July
97.656,1976,August
45.7423,1976,September
8.08338,1976,October
1.36519,1976,November
3.35015,1976,December
44.242,1977,January
3.8353,1977,February
5.09658,1977,March
27.2329,1977,April
15.1775,1977,May
31.0969,1977,June
74.8961,1977,July
35.1519,1977,August
28.696,1977,September
8.94343,1977,October
9.8938,1977,November
10.9998,1977,December
19.7925,1978,January
16.6293,1978,February
46.6385,1978,March
16.4415,1978,April
8.48169,1978,May
21.2366,1978,June
148.121,1978,July
59.1608,1978,August
14.4293,1978,September
1.69246,1978,October
17.3604,1978,November
3.57629,1978,December
29.7768,1979,January
43.3052,1979,February
47.1193,1979,March
28.4061,1979,April
20.4325,1979,May
12.1849,1979,June
25.5854,1979,July
66.4542,1979,August
16.4189,1979,September
4.78184,1979,October
11.4957,1979,November
22.4665,1979,December
19.0035,1980,January
29.9826,1980,February
43.5235,1980,March
9.2615,1980,April
12.7197,1980,May
30.0792,1980,June
62.1531,1980,July
34.2454,1980,August
19.0816,1980,September
12.7277,1980,October
10.2885,1980,November
15.6931,1980,December
30.6463,1981,January
32.1889,1981,February
66.5952,1981,March
27.3013,1981,April
17.4683,1981,May
8.78363,1981,June
84.8033,1981,July
38.2932,1981,August
5.45379,1981,September
9.53868,1981,October
7.23586,1981,November
3.2328,1981,December
26.7045,1982,January
43.8462,1982,February
69.4212,1982,March
26.6146,1982,April
28.7386,1982,May
5.91588,1982,June
29.9389,1982,July
58.7005,1982,August
5.01978,1982,September
20.175,1982,October
24.0141,1982,November
27.1344,1982,December
19.3975,1983,January
27.558,1983,February
40.6978,1983,March
56.5685,1983,April
26.2521,1983,May
13.9626,1983,June
58.5618,1983,July
105.788,1983,August
15.65,1983,September
5.69994,1983,October
0.92442,1983,November
8.60111,1983,December
7.77251,1984,January
17.4694,1984,February
26.3116,1984,March
22.372,1984,April
13.4199,1984,May
11.7076,1984,June
52.6636,1984,July
80.2843,1984,August
28.9083,1984,September
1.63675,1984,October
6.73564,1984,November
12.675,1984,December
16.1033,1985,January
4.97319,1985,February
12.0366,1985,March
35.0544,1985,April
13.6178,1985,May
7.46966,1985,June
57.1505,1985,July
54.7685,1985,August
4.22109,1985,September
8.75089,1985,October
1.67728,1985,November
33.702,1985,December
5.4159,1986,January
37.8958,1986,February
42.6173,1986,March
23.7822,1986,April
16.0415,1986,May
23.4765,1986,June
47.7411,1986,July
94.5262,1986,August
9.89575,1986,September
4.42194,1986,October
25.3839,1986,November
18.2096,1986,December
5.30938,1987,January
29.1888,1987,February
54.0587,1987,March
21.1257,1987,April
30.0705,1987,May
25.6525,1987,June
19.9808,1987,July
23.3548,1987,August
3.8747,1987,September
23.0345,1987,October
0.29129,1987,November
3.28792,1987,December
19.4444,1988,January
17.2945,1988,February
53.0401,1988,March
8.47749,1988,April
3.33549,1988,May
17.9278,1988,June
100.4,1988,July
57.4279,1988,August
23.7982,1988,September
3.53334,1988,October
0.71824,1988,November
17.8356,1988,December
16.5354,1989,January
12.2605,1989,February
41.2204,1989,March
9.66336,1989,April
14.575,1989,May
14.3944,1989,June
111.255,1989,July
48.2808,1989,August
12.1511,1989,September
3.13078,1989,October
8.06886,1989,November
23.0545,1989,December
37.5664,1990,January
57.1569,1990,February
35.7753,1990,March
17.4093,1990,April
12.065,1990,May
10.1119,1990,June
27.8177,1990,July
100.131,1990,August
39.8935,1990,September
5.64027,1990,October
3.57717,1990,November
39.7687,1990,December
23.5797,1991,January
42.6492,1991,February
42.4584,1991,March
43.043,1991,April
26.5375,1991,May
10.7911,1991,June
20.3078,1991,July
33.49,1991,August
30.1148,1991,September
2.17714,1991,October
4.33636,1991,November
9.12149,1991,December
53.9661,1992,January
29.1195,1992,February
38.7504,1992,March
40.764,1992,April
23.8701,1992,May
5.56877,1992,June
54.8721,1992,July
69.1804,1992,August
28.7059,1992,September
12.1746,1992,October
7.92377,1992,November
13.6849,1992,December
29.6088,1993,January
15.8378,1993,February
32.1792,1993,March
19.6552,1993,April
15.3862,1993,May
19.6844,1993,June
73.2203,1993,July
11.8972,1993,August
18.1405,1993,September
2.95508,1993,October
9.43055,1993,November
0.80544,1993,December
19.5592,1994,January
29.1929,1994,February
23.597,1994,March
26.8942,1994,April
19.8453,1994,May
21.5863,1994,June
116.973,1994,July
83.9455,1994,August
42.8355,1994,September
10.3939,1994,October
3.08639,1994,November
25.3666,1994,December
9.26441,1995,January
30.1864,1995,February
23.1022,1995,March
44.2381,1995,April
11.1759,1995,May
15.1367,1995,June
97.9396,1995,July
58.5468,1995,August
21.9999,1995,September
14.0496,1995,October
5.24833,1995,November
21.7521,1995,December
27.9485,1996,January
40.7236,1996,February
44.5704,1996,March
24.3362,1996,April
33.005,1996,May
45.5516,1996,June
37.5503,1996,July
54.5763,1996,August
13.2122,1996,September
11.4699,1996,October
3.83853,1996,November
5.86822,1996,December
23.2765,1997,January
5.92436,1997,February
38.9486,1997,March
39.8522,1997,April
18.4543,1997,May
32.5392,1997,June
61.0494,1997,July
84.8412,1997,August
11.9138,1997,September
28.5444,1997,October
8.86339,1997,November
13.9214,1997,December
32.6726,1998,January
39.6264,1998,February
37.2368,1998,March
31.8033,1998,April
21.8943,1998,May
25.044,1998,June
49.0101,1998,July
28.9697,1998,August
23.637,1998,September
9.91221,1998,October
0.16185,1998,November
0.94575,1998,December
32.9247,1999,January
36.1811,1999,February
23.3168,1999,March
18.1675,1999,April
9.97722,1999,May
9.80438,1999,June
38.2667,1999,July
45.1223,1999,August
19.1532,1999,September
6.80608,1999,October
13.6544,1999,November
0.24637,1999,December
19.311,2000,January
14.2357,2000,February
8.70368,2000,March
3.96081,2000,April
7.20656,2000,May
16.5511,2000,June
57.1515,2000,July
32.6807,2000,August
18.3118,2000,September
3.36167,2000,October
4.03651,2000,November
6.28593,2000,December
3.98006,2001,January
7.90859,2001,February
16.1858,2001,March
21.0362,2001,April
9.71545,2001,May
42.8297,2001,June
70.3518,2001,July
28.1631,2001,August
12.5674,2001,September
2.88224,2001,October
11.1675,2001,November
7.07034,2001,December
8.26817,2002,January
24.8489,2002,February
23.0497,2002,March
20.2869,2002,April
10.8048,2002,May
25.2618,2002,June
11.4863,2002,July
34.2267,2002,August
23.8329,2002,September
4.25136,2002,October
9.99053,2002,November
13.1605,2002,December
12.9862,2003,January
62.8046,2003,February
31.7944,2003,March
23.1098,2003,April
20.0575,2003,May
13.7782,2003,June
106.583,2003,July
67.9582,2003,August
25.9643,2003,September
4.65043,2003,October
8.94368,2003,November
7.45678,2003,December
41.6249,2004,January
15.2825,2004,February
5.57348,2004,March
25.9202,2004,April
13.1468,2004,May
19.4183,2004,June
23.6964,2004,July
55.6869,2004,August
15.1627,2004,September
13.4192,2004,October
4.30319,2004,November
24.4978,2004,December
37.2572,2005,January
58.6492,2005,February
40.9373,2005,March
21.9531,2005,April
27.8063,2005,May
7.38339,2005,June
56.0509,2005,July
27.6218,2005,August
28.3787,2005,September
5.59639,2005,October
8.06399,2005,November
3.99261,2005,December
28.5383,2006,January
15.7051,2006,February
27.5402,2006,March
13.3447,2006,April
9.25805,2006,May
19.7032,2006,June
56.8962,2006,July
92.8018,2006,August
29.8866,2006,September
9.6685,2006,October
18.3344,2006,November
43.9717,2006,December
3.0348,2007,January
49.8075,2007,February
63.3527,2007,March
10.1817,2007,April
10.8274,2007,May
37.8191,2007,June
60.6515,2007,July
42.5053,2007,August
28.5902,2007,September
0.73853,2007,October
2.19563,2007,November
8.77559,2007,December
43.5298,2008,January
13.6756,2008,February
2.83751,2008,March
37.4197,2008,April
16.6802,2008,May
26.2055,2008,June
48.5093,2008,July
90.4538,2008,August
18.479,2008,September
6.49189,2008,October
4.59947,2008,November
28.3541,2008,December
34.3593,2009,January
33.2747,2009,February
28.2929,2009,March
33.3443,2009,April
11.2742,2009,May
18.2574,2009,June
50.6734,2009,July
30.7856,2009,August
15.1353,2009,September
3.9578,2009,October
6.9783,2009,November
16.272,2009,December
9.37983,2010,January
31.8993,2010,February
20.63,2010,March
16.3773,2010,April
23.014,2010,May
25.6214,2010,June
105.22,2010,July
113.186,2010,August
30.6715,2010,September
4.11534,2010,October
1.60891,2010,November
3.23522,2010,December
11.1674,2011,January
58.0763,2011,February
30.0545,2011,March
28.063,2011,April
10.2389,2011,May
16.105,2011,June
37.5047,2011,July
80.6547,2011,August
31.7056,2011,September
8.60502,2011,October
6.73557,2011,November
2.56967,2011,December
21.7436,2012,January
19.6736,2012,February
22.278,2012,March
34.6903,2012,April
13.0843,2012,May
7.12074,2012,June
26.7597,2012,July
45.5465,2012,August
51.5706,2012,September
6.17664,2012,October
3.56023,2012,November
21.8186,2012,December
12.3896,2013,January
46.5909,2013,February
53.8636,2013,March
33.5154,2013,April
7.84502,2013,May
37.7994,2013,June
45.7747,2013,July
72.268,2013,August
16.0794,2013,September
8.1558,2013,October
13.5567,2013,November
2.00393,2013,December
11.4887,2014,January
22.7004,2014,February
55.8119,2014,March
36.274,2014,April
20.0702,2014,May
11.8501,2014,June
30.8147,2014,July
30.2337,2014,August
35.8764,2014,September
9.75995,2014,October
10.1953,2014,November
0.41147,2014,December
16.3651,2015,January
30.9235,2015,February
70.0159,2015,March
34.0755,2015,April
19.6929,2015,May
28.986,2015,June
72.6114,2015,July
69.5808,2015,August
26.1938,2015,September
14.1419,2015,October
9.09601,2015,November
6.00726,2015,December
16.1749,2016,January
8.36436,2016,February
57.6948,2016,March
20.2518,2016,April
18.1856,2016,May
23.6518,2016,June
56.4818,2016,July
60.6061,2016,August
13.7694,2016,September
1.07552,2016,October
2.8848,2016,November
7.82298,2016,December
